K,f_locked,n_distinct_ratios,efficiency,marginal_gain
0.902256,0.487500,39,43.225000,0.000000
0.904762,0.492500,41,45.315789,798.000000
0.907268,0.497500,43,47.395028,798.000000
0.909774,0.500000,41,45.066116,-798.000000
0.912281,0.502500,41,44.942308,0.000000
0.914787,0.497500,41,44.819178,0.000000
0.917293,0.502500,41,44.696721,0.000000
0.919799,0.505000,39,42.400545,-798.000000
0.922306,0.510000,41,44.453804,798.000000
0.924812,0.512500,45,48.658537,1596.000000
0.927318,0.505000,41,44.213514,-1596.000000
0.929825,0.512500,39,41.943396,-798.000000
0.932331,0.512500,43,46.120968,1596.000000
0.934837,0.520000,43,45.997319,0.000000
0.937343,0.527500,45,48.008021,798.000000
0.939850,0.530000,43,45.752000,-798.000000
0.942356,0.535000,45,47.752660,798.000000
0.944862,0.530000,41,43.392573,-1596.000000
0.947368,0.532500,43,45.388889,798.000000
0.949875,0.537500,41,43.163588,-798.000000
0.952381,0.552500,47,49.350000,2394.000000
0.954887,0.552500,45,47.125984,-798.000000
0.957393,0.552500,43,44.913613,-798.000000
0.959900,0.550000,47,48.963446,1596.000000
0.962406,0.560000,47,48.835938,0.000000
0.964912,0.560000,45,46.636364,-798.000000
0.967419,0.567500,43,44.448187,-798.000000
0.969925,0.565000,47,48.457364,1596.000000
0.972431,0.565000,47,48.332474,0.000000
0.974937,0.570000,45,46.156812,-798.000000
0.977444,0.577500,45,46.038462,0.000000
0.979950,0.577500,47,47.961637,798.000000
0.982456,0.575000,45,45.803571,-798.000000
0.984962,0.587500,47,47.717557,798.000000
0.987469,0.587500,47,47.596447,0.000000
0.989975,0.587500,47,47.475949,0.000000
0.992481,0.590000,45,45.340909,-798.000000
0.994987,0.595000,47,47.236776,798.000000
0.997494,0.592500,45,45.113065,-798.000000
1.000000,0.605000,47,47.000000,798.000000
