K,n_tongues,total_locked,entropy,efficiency,herfindahl,inv_herfindahl,gini_complement
0.11027568922305764,2,0.0375,0.6931471805599453,18.136363636363637,0.5,2.0,1.0
0.11278195488721804,2,0.0375,0.6931471805599453,17.733333333333334,0.5,2.0,1.0
0.11528822055137844,2,0.0375,0.6931471805599453,17.347826086956523,0.5,2.0,1.0
0.11779448621553884,2,0.0375,0.6931471805599453,16.97872340425532,0.5,2.0,1.0
0.12030075187969924,2,0.04,0.6931471805599453,16.625,0.5,2.0,1.0
0.12280701754385964,2,0.04,0.6931471805599453,16.28571428571429,0.5,2.0,1.0
0.12531328320802004,2,0.04,0.6931471805599453,15.96,0.5,2.0,1.0
0.12781954887218044,2,0.0425,0.6931471805599453,15.647058823529413,0.5,2.0,1.0
0.13032581453634084,2,0.0425,0.6931471805599453,15.346153846153847,0.5,2.0,1.0
0.13283208020050125,2,0.0425,0.6931471805599453,15.056603773584907,0.5,2.0,1.0
0.13533834586466165,2,0.045,0.6931471805599453,14.777777777777779,0.5,2.0,0.9999999999999998
0.13784461152882205,2,0.045,0.6931471805599453,14.50909090909091,0.5,2.0,0.9999999999999998
0.14035087719298245,2,0.045,0.6931471805599453,14.25,0.5,2.0,0.9999999999999998
0.14285714285714285,2,0.0475,0.6931471805599453,14.0,0.5,2.0,0.9999999999999998
0.14536340852130325,2,0.0475,0.6931471805599453,13.758620689655173,0.5,2.0,0.9999999999999998
0.14786967418546365,2,0.0475,0.6931471805599453,13.52542372881356,0.5,2.0,0.9999999999999998
0.15037593984962405,2,0.05,0.6931471805599453,13.3,0.5,2.0,0.9999999999999998
0.15288220551378445,2,0.05,0.6931471805599453,13.081967213114755,0.5,2.0,0.9999999999999998
0.15538847117794485,2,0.05,0.6931471805599453,12.870967741935484,0.5,2.0,0.9999999999999998
0.15789473684210525,2,0.0525,0.6931471805599453,12.666666666666668,0.5,2.0,1.0
0.16040100250626566,2,0.0525,0.6931471805599453,12.46875,0.5,2.0,1.0
0.16290726817042606,2,0.0525,0.6931471805599453,12.276923076923078,0.5,2.0,1.0
0.16541353383458646,2,0.055,0.6931471805599453,12.090909090909092,0.5,2.0,1.0
0.16791979949874686,2,0.055,0.6931471805599453,11.91044776119403,0.5,2.0,1.0
0.17042606516290726,2,0.055,0.6931471805599453,11.73529411764706,0.5,2.0,1.0
0.17293233082706766,2,0.055,0.6931471805599453,11.565217391304348,0.5,2.0,1.0
0.17543859649122806,2,0.0575,0.6931471805599453,11.4,0.5,2.0,1.0
0.17794486215538846,2,0.0575,0.6931471805599453,11.23943661971831,0.5,2.0,1.0
0.18045112781954886,2,0.0575,0.6931471805599453,11.083333333333334,0.5,2.0,1.0
0.18295739348370926,2,0.06,0.6931471805599453,10.931506849315069,0.5,2.0,1.0
0.18546365914786966,2,0.06,0.6931471805599453,10.783783783783784,0.5,2.0,1.0
0.18796992481203006,2,0.06,0.6931471805599453,10.64,0.5,2.0,1.0
0.19047619047619047,2,0.0625,0.6931471805599453,10.5,0.5,2.0,1.0
0.19298245614035087,2,0.0625,0.6931471805599453,10.363636363636365,0.5,2.0,1.0
0.19548872180451127,2,0.0625,0.6931471805599453,10.230769230769232,0.5,2.0,1.0
0.19799498746867167,2,0.065,0.6931471805599453,10.10126582278481,0.5,2.0,1.0
0.20050125313283207,2,0.065,0.6931471805599453,9.975000000000001,0.5,2.0,1.0
0.20300751879699247,2,0.065,0.6931471805599453,9.851851851851853,0.5,2.0,1.0
0.20551378446115287,2,0.0675,0.6931471805599453,9.731707317073171,0.5,2.0,1.0
0.20802005012531327,2,0.0675,0.6931471805599453,9.614457831325302,0.5,2.0,1.0
0.21052631578947367,2,0.0675,0.6931471805599453,9.5,0.5,2.0,1.0
0.21303258145363407,2,0.07,0.6931471805599453,9.388235294117647,0.5,2.0,1.0
0.21553884711779447,2,0.07,0.6931471805599453,9.279069767441861,0.5,2.0,1.0
0.21804511278195488,3,0.07375000000000001,0.8589054195698592,13.758620689655173,0.4530307382935937,2.207355738744452,0.7175141242937852
0.22055137844611528,3,0.0775,0.8876451014371068,13.602272727272728,0.44172736732570234,2.263839811542992,0.7311827956989247
0.22305764411027568,3,0.0775,0.8876451014371068,13.449438202247192,0.44172736732570234,2.263839811542992,0.7311827956989247
0.22556390977443608,3,0.0775,0.8876451014371068,13.3,0.44172736732570234,2.263839811542992,0.7311827956989247
0.22807017543859648,3,0.08,0.8836171404814079,13.153846153846155,0.443359375,2.2555066079295156,0.7291666666666667
0.23057644110275688,3,0.08,0.8836171404814079,13.010869565217392,0.443359375,2.2555066079295156,0.7291666666666667
0.23308270676691728,3,0.08,0.8836171404814079,12.870967741935484,0.443359375,2.2555066079295156,0.7291666666666667
0.23558897243107768,3,0.08,0.8836171404814079,12.73404255319149,0.443359375,2.2555066079295156,0.7291666666666667
0.23809523809523808,3,0.0825,0.8797701341088705,12.600000000000001,0.4449035812672176,2.2476780185758516,0.7272727272727273
0.24060150375939848,3,0.0825,0.8797701341088705,12.46875,0.4449035812672176,2.2476780185758516,0.7272727272727273
0.24310776942355888,3,0.0825,0.8797701341088705,12.34020618556701,0.4449035812672176,2.2476780185758516,0.7272727272727273
0.24561403508771928,3,0.085,0.8760918930634294,12.214285714285715,0.4463667820069204,2.24031007751938,0.7254901960784315
0.24812030075187969,3,0.085,0.8760918930634294,12.090909090909092,0.4463667820069204,2.24031007751938,0.7254901960784315
0.2506265664160401,3,0.085,0.8760918930634294,11.97,0.4463667820069204,2.24031007751938,0.7254901960784315
0.2531328320802005,3,0.08750000000000001,0.8725712920312554,11.851485148514852,0.4477551020408163,2.2333637192342755,0.7238095238095239
0.2556390977443609,3,0.08750000000000001,0.8725712920312554,11.73529411764706,0.4477551020408163,2.2333637192342755,0.7238095238095239
0.2581453634085213,3,0.08750000000000001,0.8725712920312554,11.621359223300972,0.4477551020408163,2.2333637192342755,0.7238095238095239
0.2606516290726817,3,0.09000000000000001,0.8691981590385757,11.509615384615385,0.44907407407407407,2.2268041237113403,0.7222222222222223
0.2631578947368421,3,0.09000000000000001,0.8691981590385757,11.4,0.44907407407407407,2.2268041237113403,0.7222222222222223
0.2656641604010025,3,0.09000000000000001,0.8691981590385757,11.29245283018868,0.44907407407407407,2.2268041237113403,0.7222222222222223
0.2681704260651629,3,0.0925,0.8659631776806762,11.186915887850468,0.45032870708546385,2.2206001622060016,0.7207207207207207
0.2706766917293233,3,0.0925,0.8659631776806762,11.083333333333334,0.45032870708546385,2.2206001622060016,0.7207207207207207
0.2731829573934837,3,0.0925,0.8659631776806762,10.98165137614679,0.45032870708546385,2.2206001622060016,0.7207207207207207
0.2756892230576441,3,0.095,0.8628578006373905,10.881818181818183,0.4515235457063711,2.2147239263803686,0.7192982456140351
0.2781954887218045,3,0.095,0.8628578006373905,10.783783783783784,0.4515235457063711,2.2147239263803686,0.7192982456140351
0.2807017543859649,3,0.095,0.8628578006373905,10.6875,0.4515235457063711,2.2147239263803686,0.7192982456140351
0.2832080200501253,3,0.1,0.9075456052858699,10.5929203539823,0.4334374999999999,2.3071377072819037,0.7416666666666669
0.2857142857142857,3,0.1,0.9075456052858699,10.5,0.4334374999999999,2.3071377072819037,0.7416666666666669
0.2882205513784461,3,0.1,0.9075456052858699,10.408695652173913,0.4334374999999999,2.3071377072819037,0.7416666666666669
