K,f_locked,phi_simple,phi_entropy
0.543860,0.217500,0.170194,0.113910
0.546366,0.215000,0.168775,0.111909
0.548872,0.212500,0.167344,0.109916
0.551378,0.220000,0.171600,0.115920
0.553885,0.220000,0.171600,0.115920
0.556391,0.225000,0.174375,0.119962
0.558897,0.230000,0.177100,0.124034
0.561404,0.232500,0.178444,0.126080
0.563910,0.227500,0.175744,0.121994
0.566416,0.230000,0.177100,0.124034
0.568922,0.232500,0.178444,0.126080
0.571429,0.235000,0.179775,0.128133
0.573935,0.237500,0.181094,0.130193
0.576441,0.232500,0.178444,0.126080
0.578947,0.245000,0.184975,0.136410
0.581454,0.240000,0.182400,0.132259
0.583960,0.240000,0.182400,0.132259
0.586466,0.250000,0.187500,0.140584
0.588972,0.247500,0.186244,0.138494
0.591479,0.255000,0.189975,0.144779
0.593985,0.245000,0.184975,0.136410
0.596491,0.240000,0.182400,0.132259
0.598997,0.250000,0.187500,0.140584
0.601504,0.250000,0.187500,0.140584
0.604010,0.260000,0.192400,0.148995
0.606516,0.262500,0.193594,0.151110
0.609023,0.257500,0.191194,0.146885
0.611529,0.265000,0.194775,0.153229
0.614035,0.265000,0.194775,0.153229
0.616541,0.257500,0.191194,0.146885
0.619048,0.265000,0.194775,0.153229
0.621554,0.270000,0.197100,0.157480
0.624060,0.275000,0.199375,0.161746
0.626566,0.272500,0.198244,0.159611
0.629073,0.262500,0.193594,0.151110
0.631579,0.270000,0.197100,0.157480
0.634085,0.272500,0.198244,0.159611
0.636591,0.275000,0.199375,0.161746
0.639098,0.277500,0.200494,0.163885
0.641604,0.277500,0.200494,0.163885
0.644110,0.277500,0.200494,0.163885
0.646617,0.282500,0.202694,0.168172
0.649123,0.277500,0.200494,0.163885
0.651629,0.275000,0.199375,0.161746
0.654135,0.282500,0.202694,0.168172
0.656642,0.290000,0.205900,0.174624
0.659148,0.295000,0.207975,0.178938
0.661654,0.285000,0.203775,0.170320
0.664160,0.285000,0.203775,0.170320
0.666667,0.285000,0.203775,0.170320
0.669173,0.290000,0.205900,0.174624
0.671679,0.300000,0.210000,0.183259
0.674185,0.297500,0.208994,0.181098
0.676692,0.302500,0.210994,0.185423
0.679198,0.305000,0.211975,0.187588
0.681704,0.302500,0.210994,0.185423
0.684211,0.302500,0.210994,0.185423
0.686717,0.302500,0.210994,0.185423
0.689223,0.310000,0.213900,0.191921
0.691729,0.307500,0.212944,0.189754
0.694236,0.307500,0.212944,0.189754
0.696742,0.307500,0.212944,0.189754
0.699248,0.312500,0.214844,0.194089
0.701754,0.317500,0.216694,0.198428
0.704261,0.325000,0.219375,0.204939
0.706767,0.322500,0.218494,0.202769
0.709273,0.322500,0.218494,0.202769
0.711779,0.315000,0.215775,0.196259
0.714286,0.327500,0.220244,0.207109
0.716792,0.327500,0.220244,0.207109
0.719298,0.325000,0.219375,0.204939
0.721805,0.322500,0.218494,0.202769
0.724311,0.330000,0.221100,0.209279
0.726817,0.332500,0.221944,0.211448
0.729323,0.330000,0.221100,0.209279
0.731830,0.332500,0.221944,0.211448
0.734336,0.330000,0.221100,0.209279
0.736842,0.337500,0.223594,0.215785
0.739348,0.342500,0.225194,0.220118
0.741855,0.347500,0.226744,0.224445
0.744361,0.355000,0.228975,0.230923
0.746867,0.355000,0.228975,0.230923
0.749373,0.350000,0.227500,0.226606
0.751880,0.350000,0.227500,0.226606
0.754386,0.350000,0.227500,0.226606
0.756892,0.352500,0.228244,0.228766
0.759398,0.352500,0.228244,0.228766
0.761905,0.355000,0.228975,0.230923
0.764411,0.360000,0.230400,0.235231
0.766917,0.360000,0.230400,0.235231
0.769424,0.360000,0.230400,0.235231
0.771930,0.365000,0.231775,0.239528
0.774436,0.367500,0.232444,0.241672
0.776942,0.362500,0.231094,0.237381
0.779449,0.372500,0.233744,0.245952
0.781955,0.375000,0.234375,0.248086
0.784461,0.375000,0.234375,0.248086
0.786967,0.372500,0.233744,0.245952
0.789474,0.382500,0.236194,0.254468
0.791980,0.367500,0.232444,0.241672
0.794486,0.372500,0.233744,0.245952
0.796992,0.380000,0.235600,0.252344
0.799499,0.390000,0.237900,0.260812
0.802005,0.392500,0.238444,0.262917
0.804511,0.400000,0.240000,0.269205
0.807018,0.397500,0.239494,0.267114
0.809524,0.392500,0.238444,0.262917
0.812030,0.390000,0.237900,0.260812
0.814536,0.390000,0.237900,0.260812
0.817043,0.400000,0.240000,0.269205
0.819549,0.410000,0.241900,0.277512
0.822055,0.402500,0.240494,0.271290
0.824561,0.412500,0.242344,0.279574
0.827068,0.415000,0.242775,0.281630
0.829574,0.420000,0.243600,0.285723
0.832080,0.410000,0.241900,0.277512
0.834586,0.417500,0.243194,0.283680
0.837093,0.425000,0.244375,0.289788
0.839599,0.422500,0.243994,0.287759
0.842105,0.417500,0.243194,0.283680
0.844612,0.422500,0.243994,0.287759
0.847118,0.430000,0.245100,0.293825
0.849624,0.442500,0.246694,0.303785
0.852130,0.445000,0.246975,0.305753
0.854637,0.432500,0.245444,0.295833
0.857143,0.442500,0.246694,0.303785
0.859649,0.447500,0.247244,0.307712
0.862155,0.450000,0.247500,0.309662
0.864662,0.447500,0.247244,0.307712
0.867168,0.460000,0.248400,0.317374
0.869674,0.457500,0.248194,0.315460
0.872180,0.450000,0.247500,0.309662
0.874687,0.447500,0.247244,0.307712
0.877193,0.460000,0.248400,0.317374
0.879699,0.462500,0.248594,0.319279
0.882206,0.470000,0.249100,0.324933
0.884712,0.467500,0.248944,0.323058
0.887218,0.472500,0.249244,0.326797
0.889724,0.472500,0.249244,0.326797
0.892231,0.472500,0.249244,0.326797
0.894737,0.480000,0.249600,0.332327
0.897243,0.490000,0.249900,0.339544
0.899749,0.485000,0.249775,0.335958
0.902256,0.487500,0.249844,0.337757
0.904762,0.492500,0.249944,0.341320
0.907268,0.497500,0.249994,0.344835
0.909774,0.500000,0.250000,0.346574
0.912281,0.502500,0.249994,0.348300
0.914787,0.497500,0.249994,0.344835
0.917293,0.502500,0.249994,0.348300
0.919799,0.505000,0.249975,0.350014
0.922306,0.510000,0.249900,0.353403
0.924812,0.512500,0.249844,0.355078
0.927318,0.505000,0.249975,0.350014
0.929825,0.512500,0.249844,0.355078
0.932331,0.512500,0.249844,0.355078
0.934837,0.520000,0.249600,0.360020
0.937343,0.527500,0.249244,0.364837
0.939850,0.530000,0.249100,0.366413
0.942356,0.535000,0.248775,0.369522
0.944862,0.530000,0.249100,0.366413
0.947368,0.532500,0.248944,0.367975
0.949875,0.537500,0.248594,0.371053
0.952381,0.552500,0.247244,0.379913
0.954887,0.552500,0.247244,0.379913
0.957393,0.552500,0.247244,0.379913
0.959900,0.550000,0.247500,0.378476
0.962406,0.560000,0.246400,0.384121
0.964912,0.560000,0.246400,0.384121
0.967419,0.567500,0.245444,0.388174
0.969925,0.565000,0.245775,0.386840
0.972431,0.565000,0.245775,0.386840
0.974937,0.570000,0.245100,0.389490
0.977444,0.577500,0.243994,0.393327
0.979950,0.577500,0.243994,0.393327
0.982456,0.575000,0.244375,0.392066
0.984962,0.587500,0.242344,0.398181
0.987469,0.587500,0.242344,0.398181
0.989975,0.587500,0.242344,0.398181
0.992481,0.590000,0.241900,0.399347
0.994987,0.595000,0.240975,0.401617
0.997494,0.592500,0.241444,0.400492
1.000000,0.605000,0.238975,0.405914
